"ParasiteReportedName","ParasiteCorrectedName","HasBinomialName","NameObservations","FLAG","NameID","NameCitation","ParType","ParPhylum","ParClass","ParOrder","ParFamily","StrainorSubsps"
"Entopolypoides macaci","Entopolypoides macaci","yes","valid in papers","","Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. ","Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. (2013). Role of grooming in reducing tick load in wild baboons (Papio cynocephalus).†Animal behaviour,†85(3), 559-568.","Protozoa","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",""
"Entopolypoides (Babesia like)","Entopolypoides sp.","no","valid in papers","","Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. ","Akinyi, M. Y., Tung, J., Jeneby, M., Patel, N. B., Altmann, J., & Alberts, S. C. (2013). Role of grooming in reducing tick load in wild baboons (Papio cynocephalus).†Animal behaviour,†85(3), 559-568.","Protozoa","Apicomplexa","Aconoidasida","Achromatorida","Babesiidae",""
"Ephemerovirus Bovine ephemeral fever virus","Ephemerovirus Bovine ephemeral fever virus","yes","valid name in ICTV v.2015","","","","Virus","RNA virus","ss-","Mononegavirales","Rhabdoviridae",""
"Epidinium bulbiferum","Epidinium bulbiferum","yes","Nothing outside of papers likely in GMPD","",NA,"Obanda, V., Gakuya, F., Lekolool, I., Chege, S., Okita, B., & Manyibe, T. (2008). Ciliated intestinal protozoa of black (Diceros bicornis michaeli) and white rhinoceroses (Ceratotherium simum simum) in Kenya.†African Journal of Ecology,†46(2), 144-148.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Epidinium caudatum","Epidinium caudatum","yes","valid name in NCBI","","NCBI 47887","","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Epidinium gigas","Epidinium gigas","yes","valid in papers","","Ishaq & Wright 2015","Ishaq, S. L., & Wright, A. D. G. (2015). Wild Ruminants. In†Rumen Microbiology: From Evolution to Revolution†(pp. 37-45). Springer India.","Protozoa","Ciliophora","Litostomatea","Entodiniomorphida","Ophryoscolecidae",""
"Equus zebra gammaherpesvirus 1 (EzebGHV-1)","Equus zebra gammaherpesvirus 2","yes","Not in ICTV v.2015, but valid name in NCBI","YES","NCBI 517184","","Virus","DNA virus","ds","Herpesvirales","Herpesviridae",""
"Erwinia sp.","Erwinia sp.","no","valid name in NCBI","","NCBI 551","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Erysipelothrix rhusiopathiae","Erysipelothrix rhusiopathiae","yes","valid name in NCBI","","NCBI 1648","","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",""
"Escherichia coli","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"E. coli 0157:H7","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","O157:H7"
"Haemolytic Escherichia coli","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Escherichia coli (serotype 0:11)","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","(serotype 0:11)"
"Escherichia coli (serotype 0:96)","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","(serotype 0:96)"
"Escherichia coli (serotype 0:66)","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","(serotype 0:66)"
"Escherichia coli (serotype 0:6)","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","(serotype 0:6)"
"Escherichia coli (serotype 0:38)","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","(serotype 0:38)"
"Escherichia coli 0157:H7","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteraceae","0157:H7"
"Nonhemolytic Escherichia coli","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Hemolytic Escherichia coli","Escherichia coli","yes","valid name in NCBI","","NCBI 562","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Escherichia sp.","Escherichia sp.","no","valid name in NCBI","","NCBI 561","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Escherichia spp.","Escherichia sp.","no","valid name in NCBI","","NCBI 561","","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",""
"Eucoleus aerophilus","Eucoleus aerophilus","yes","valid name in NCBI","","NCBI 1237089","","Helminth","Nematoda","Enoplea","Trichocephalida","Capillariidae",""
"Eucoleus (Capillaria) aerophilus","Eucoleus aerophilus","yes","valid name in NCBI","","NCBI 1237089","","Helminth","Nematoda","Enoplea","Trichocephalida","Capillariidae",""
"Capillaria bohmi","Eucoleus boehmi","yes","synonym according NCBI database","","NCBI 1239595","","Helminth","Nematoda","Enoplea","Trichocephalida","Capillariidae",""
"Eucoleus bohmi","Eucoleus boehmi","yes","probably a misspelling","","Veronesi, F., Morganti, G., di Cesare, A., Lepri, E., Cassini, R., Zanet, S., ... & Ferroglio, E. ","Veronesi, F., Morganti, G., di Cesare, A., Lepri, E., Cassini, R., Zanet, S., ... & Ferroglio, E. (2014). Eucoleus boehmi infection in red fox (Vulpes vulpes) from Italy.†Veterinary parasitology,†206(3), 232-239.","Helminth","Nematoda","Enoplea","Trichocephalida","Capillariidae",""
